max_reinforce,min_diff_A,max_freq_M0,max_freq_F1,final_adapt_diff_unlinked,this.order,n.gen,r12,r23,r34,s,n.unlinked,prop.replaced0,prop.replaced1,discrim
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.01,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.02,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.03,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.04,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.05,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.06,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.07,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.08,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.09,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.1,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.11,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.12,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.13,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.14,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.15,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.16,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.17,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.18,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.19,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.2,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.21,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.22,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.23,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.24,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.25,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.26,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.27,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.28,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.29,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.3,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.31,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.32,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.33,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.34,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.35,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.36,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.37,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.38,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.39,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.4,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.41,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.42,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.43,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.44,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.45,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.46,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.47,0,0,0,1
NaN,1,0,0.01,NA,AMF,10000,0,0,0.5,0.48,0,0,0,1
